,geoName,Lionel Messi
0,Afghanistan,0
171,Papua New Guinea,0
158,Niger,0
159,Nigeria,0
160,Niue,0
161,Norfolk Island,0
162,North Korea,0
163,North Macedonia,0
164,Northern Mariana Islands,0
165,Norway,0
166,Oman,0
167,Pakistan,0
168,Palau,0
169,Palestine,0
170,Panama,0
172,Paraguay,0
187,Senegal,0
173,Peru,0
174,Philippines,0
175,Pitcairn Islands,0
176,Poland,0
177,Portugal,0
178,Puerto Rico,0
179,Qatar,0
180,Romania,0
181,Russia,0
182,Rwanda,0
183,Réunion,0
184,Samoa,0
185,San Marino,0
157,Nicaragua,0
156,New Zealand,0
155,New Caledonia,0
154,Netherlands,0
127,Lithuania,0
128,Luxembourg,0
129,Macao,0
130,Madagascar,0
131,Malawi,0
132,Malaysia,0
133,Maldives,0
134,Mali,0
135,Malta,0
136,Marshall Islands,0
137,Martinique,0
138,Mauritania,0
139,Mauritius,0
140,Mayotte,0
141,Mexico,0
142,Micronesia,0
143,Moldova,0
144,Monaco,0
145,Mongolia,0
146,Montenegro,0
147,Montserrat,0
148,Morocco,0
149,Mozambique,0
150,Myanmar (Burma),0
151,Namibia,0
152,Nauru,0
153,Nepal,0
186,Saudi Arabia,0
188,Serbia,0
1,Albania,0
234,Ukraine,0
221,Timor-Leste,0
222,Togo,0
223,Tokelau,0
224,Tonga,0
225,Trinidad & Tobago,0
226,Tunisia,0
227,Turkmenistan,0
228,Turks & Caicos Islands,0
229,Tuvalu,0
230,Türkiye,0
231,U.S. Outlying Islands,0
232,U.S. Virgin Islands,0
233,Uganda,0
235,United Arab Emirates,0
189,Seychelles,0
236,United Kingdom,0
237,United States,0
238,Uruguay,0
239,Uzbekistan,0
240,Vanuatu,0
241,Vatican City,0
242,Venezuela,0
243,Vietnam,0
244,Wallis & Futuna,0
245,Western Sahara,0
246,Yemen,0
247,Zambia,0
248,Zimbabwe,0
220,Thailand,0
219,Tanzania,0
218,Tajikistan,0
217,Taiwan,0
190,Sierra Leone,0
191,Singapore,0
192,Sint Maarten,0
193,Slovakia,0
194,Slovenia,0
195,Solomon Islands,0
196,Somalia,0
197,South Africa,0
198,South Georgia & South Sandwich Islands,0
199,South Korea,0
200,South Sudan,0
201,Spain,0
202,Sri Lanka,0
203,St. Barthélemy,0
204,St. Helena,0
205,St. Kitts & Nevis,0
206,St. Lucia,0
207,St. Martin,0
208,St. Pierre & Miquelon,0
209,St. Vincent & Grenadines,0
210,Sudan,0
211,Suriname,0
212,Svalbard & Jan Mayen,0
213,Sweden,0
214,Switzerland,0
215,Syria,0
216,São Tomé & Príncipe,0
126,Liechtenstein,0
125,Libya,0
124,Liberia,0
46,Christmas Island,0
33,Bulgaria,0
34,Burkina Faso,0
35,Burundi,0
36,Cambodia,0
37,Cameroon,0
38,Canada,0
39,Cape Verde,0
40,Caribbean Netherlands,0
41,Cayman Islands,0
42,Central African Republic,0
43,Chad,0
44,Chile,0
45,China,0
47,Cocos (Keeling) Islands,0
123,Lesotho,0
48,Colombia,0
49,Comoros,0
50,Congo - Brazzaville,0
51,Congo - Kinshasa,0
52,Cook Islands,0
53,Costa Rica,0
54,Croatia,0
55,Cuba,0
56,Curaçao,0
57,Cyprus,0
58,Czechia,0
59,Côte d’Ivoire,0
60,Denmark,0
32,Brunei,0
31,British Virgin Islands,0
30,British Indian Ocean Territory,0
29,Brazil,0
2,Algeria,0
3,American Samoa,0
4,Andorra,0
5,Angola,0
6,Anguilla,0
7,Antarctica,0
8,Antigua & Barbuda,0
9,Argentina,0
10,Armenia,0
11,Aruba,0
12,Australia,0
13,Austria,0
14,Azerbaijan,0
15,Bahamas,0
16,Bahrain,0
17,Bangladesh,0
18,Barbados,0
19,Belarus,0
20,Belgium,0
21,Belize,0
22,Benin,0
23,Bermuda,0
24,Bhutan,0
25,Bolivia,0
26,Bosnia & Herzegovina,0
27,Botswana,0
28,Bouvet Island,0
61,Djibouti,0
62,Dominica,0
63,Dominican Republic,0
94,Guinea-Bissau,0
96,Haiti,0
97,Heard & McDonald Islands,0
98,Honduras,0
99,Hong Kong,0
100,Hungary,0
101,Iceland,0
102,India,0
103,Indonesia,0
104,Iran,0
105,Iraq,0
106,Ireland,0
107,Isle of Man,0
108,Israel,0
109,Italy,0
110,Jamaica,0
111,Japan,0
112,Jersey,0
113,Jordan,0
114,Kazakhstan,0
115,Kenya,0
116,Kiribati,0
117,Kosovo,0
118,Kuwait,0
119,Kyrgyzstan,0
120,Laos,0
121,Latvia,0
122,Lebanon,0
95,Guyana,0
93,Guinea,0
64,Ecuador,0
92,Guernsey,0
65,Egypt,0
66,El Salvador,0
67,Equatorial Guinea,0
68,Eritrea,0
69,Estonia,0
70,Eswatini,0
71,Ethiopia,0
72,Falkland Islands (Islas Malvinas),0
73,Faroe Islands,0
74,Fiji,0
75,Finland,0
76,France,0
77,French Guiana,0
78,French Polynesia,0
79,French Southern Territories,0
80,Gabon,0
81,Gambia,0
82,Georgia,0
83,Germany,0
84,Ghana,0
85,Gibraltar,0
86,Greece,0
87,Greenland,0
88,Grenada,0
89,Guadeloupe,0
90,Guam,0
91,Guatemala,0
249,Åland Islands,0
